SISN,REFD,LEVELDES,TITLE,DATECR,DATEACM,PHDESC,REFD_HIGHER,SCOPE,RESTRTX,TGU,ISA,CUSTOD,ASSMAT,RELMAT,AVAIL,PHYSCO,NOTES,ACCRUAL,FCODES,STATUSD,WEBD,DATESUBJ,DATEDSRC_BEGINNING,DATEDSRC_END,SCALE,GMD_1,GMD_2,GMD_3,GMD_4,GMD_5,GMD_6,GMD_7,GMD_8,ADMBIO,INDEXGEO_1,INDEXGEO_2,INDEXGEO_3,INDEXGEO_4,INDEXGEO_5,INDEXGEO_6,INDEXGEO_7,INDEXGEO_8,INDEXGEO_9,INDEXGEO_10,INDEXGEO_11,INDEXGEO_12,INDEXGEO_13,INDEXGEO_14,INDEXGEO_15,INDEXGEO_16,INDEXGEO_17,INDEXGEO_18,INDEXGEO_19,INDEXGEO_20,INDEXGEO_21,MODDATE,INDEXPROV,INDEXNAME,INDEXSUB,HOWTO,FINDAID:FINDAIDLINK:FINDAID_URL,IIL:IIL_URL,DATEOFF:OFFICEAB:AB_REFA:OFFICEC:C_REFA
28,C 53,Fonds,Arthur N. Martin fonds,1920-[196-?],,ca. 121 architectural drawings; 24 centimetres of textual records; 43 photographs; 3 watercolours; 1 lithograph; 1 oil painting,,"Fonds consists of the records of Toronto architect and artist, Arthur N. Martin.  The fonds  predominantly includes architectural drawings and photographs of various architectural projects.  Projects represented include various churches, public buildings, office buildings, memorials, apartments and private homes such as: Kitchener and Waterloo Collegiate; Danforth Park Public School; Metropolitan United Church; Kimbourne Park United Church; St. Joseph's Building; Blessed Sacrament Church in Ottawa; South African Memorial; Toronto East General Hospital and Chateau Benvenuto.  Also included are three watercolours, the subjects of which are: the front entrance to an unidentified chapel; a cathedral; and a residence.  In addition, the fonds includes lithograph and an oil painting.  The lithograph depicts a rustic setting. On the verso is an oil painting of young woman.  The fonds also contains newspaper clippings and pamphlets collected by Martin concerning various projects and architectural issues in the Toronto area.",No restrictions on access.,Copyright held by creator.  These materials cannot be published without permission of the copyright holder.,"Fonds was acquired by the Archives of Ontario in 1989 from Rev. Norman Duncan Martin, the artist's son.",,,,,,Title based on contents.,,Accession Number: 23413,Approved,Y,,1920,1960,,Textual records,Architectural and technical drawings,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Martin, Arthur N., 1889-1961",,,Please consult the Inventory for C 53 in order to narrow down your search.,An inventory is available for this fonds. : : :,: :,: : : : :
29,C 57,Fonds,Eric Arthur fonds,"[192-]-[ca. 1941], predominant 1927-1932",,1803 photographs; 934 architectural drawings; 27 centimetres of textual records,,"Fonds consists of materials created, received and collected by Eric Arthur as an architect and while he was a professor of architecture at the University of Toronto. This fonds is divided into seven series: Photographs of Ontario buildings taken by Eric Arthur (C 57-1); Photographs of Eastern Ontario barns and houses (C 57-2); Canadian architecture photographs from the National Parks Branch (C 57-3); Photographs of buildings, tombstones and street scenes collected by Eric Arthur (C 57-4); Scrapbook of Toronto buildings (C 57-5); Photographs of Ontario houses and tombstones (C 57-6) and Architectural measured drawings collected by Eric Arthur (C 57-7).  The fonds also contains index cards (Sub series C 57-1-3), arranged alphanumerically by Arthur to correspond with many of his photographs.",Glass plate negatives are closed for conservation purposes. Copy prints are available for consultation. Remainder of fonds is not restricted.,"Copyright for much of the photographic portion of this collection has expired, and most photos can be reproduced and/or published. Copyright for other portions of the collection rests with the creator. Permission of the Archives of Ontario is required for publication.","The fonds was donated to the Archives of Ontario in a number of separate acquisitions. The majority of items were donated by Arthur himself in two accessions in 1959. A scrapbook was donated by the University of Toronto Archives in 1979, while additional prints corresponding to glass negatives were acquired from J.M.S. Careless in 1990. As well, there appear to be a number of accessions made in 1957, 1971, 1972, 1978, and 1981.",,,,Some of the photographs from this fonds are available in digital format in the Archives of Ontario Visual Database. Search using reference code C 57.,,Title based on creator of fonds.,,"Accession numbers 1979, 2274, 2317, 2327, 2458, 9157, 9612, 12351, 13090, 13138, 14388, 24225.",Review,Y,,1920,1941,,Textual records,Graphic materials,Architectural and technical drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/20/2002,"Arthur, Eric, 1898-1982",,,Please consult the series and sub-series descriptions to narrow down your search.,"An inventory is available for this collection, including a detailed finding aid for the architectural drawings. : : :",: :,: : : : :
30,C 59,Fonds,Rowley Murphy fonds,[ca. 1870]-[ca. 1960],,306 photographs : prints and negatives; 12 drawings; 2 files of textual records,,"Fonds consists of photographs, drawings, and textual records created and/or acquired by Rowley Murphy. The subjects of the records mostly include Port Dalhousie and Toronto Island, Toronto, Rowley Murphy, his family and friends, unidentified persons, and ships including La Salle's ship Le Griffon (The Griffin).  The records are arranged into five series, with the series names mostly identified by media format. Order has been imposed within each series, and most records are arranged alphabetically by subject.",See series descriptions for more information.,See series descriptions for more information.,"Rowley Murphy's estate was donated to the Archives of Ontario in two accessions, in 1971 and 1977.",,See series descriptions for more information.,,See series descriptions for more information.,See series descriptions for more information.,Title based on contents of fonds.,No accruals are expected.,"Accession numbers 9223, 12026.",Approved,Y,,1870,1960,,Graphic materials,Architectural and technical drawings,Textual records,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/18/2003,"Murphy, Rowley Walter, 1891-1975",,,See series descriptions for more information.,See series descriptions for more information. : : :,: :,: : : : :
31,C 61,Fonds,William S. Goulding fonds,[1840?]-1972,,ca. 10000 architectural drawings; ca. 1500 photographs : negatives and prints,,"Fonds consists of the records of William S. Goulding.  Fonds includes originals and copies of ca. 550 architectural drawings  created for or by Goulding's students at the University of Toronto School of Architecture.  The drawings are of various buildings in Toronto, Guelph as well as Prince Edward, Glengarry, Stormont, and Waterloo counties.  Fonds also contains the Goulding Architectural Survey of Ontario, including surveys and some photographs of all the historic buildings built prior to 1855 surveyed by Goulding.  This survey is arranged alphabetically by county, then by towns and townships, and finally by numerical sequence for each building in the township.",No restrictions on access.,Copyright held by creator.  These materials cannot be published without permission of the copyright holder.,,"Portions of the fonds were acquired by the Archives of Ontario through several accessions from William Goulding between 1961 and 1972. Further, the Goulding Architectural Survey of Ontario was donated in 1979 from the Ministry of Culture and Recreation, Archaeological and Historic Sites Board.",,,The Goulding Architectural Survey is also available on microfilm.,,,,"Accession Number: 3507, 3628, 4239, 6038, 6167, 6473, 6706, 6752, 6836, 9240, 9613, 12988",Approved,Y,,1840,1972,,Graphic materials,Architectural and technical drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Goulding, William S.",,,First consult Inventory for C 61 in order to narrow down search.,An inventory is available for this fonds. : : :,: :,: : : : :
32,F 4564,Fonds,Allan Edward Cuthbertson fonds,"1853-1942, 1968",,"10 centimetres of textual records; 4437 photographs : black and white prints; 751 photographs : black and white negatives ; 35 mm; 328 photographs : lantern slides; 291 photographs : colour slides, mounted in glass; 2 photographs : daguerreotypes; 4 photographs : tintypes; 2 photographs : ambrotypes ; 1 photograph : cyanotype; 1 photograph : hand-coloured print; 10 prints : lithographs; 10 film reels (73 min.) :  black and white ; 16 mm; 4 film reels (55 min.) : black and white ; 8 mm; 77 postcards; 2 maps",,"Fonds consists primarily of photographs, films and slides taken and compiled by Allan Edward Cuthbertson and his family.  Fonds includes early portrait photographs consisting of daguerreotypes, ambrotypes and tintypes of family members and in-laws.  Included is a daguerreotype of James Givens (1784-1846), who was born in Omagh, Ireland, the same town as many of the Cuthbertson family.  Givens was an Aide-de-Camp to John Graves Simcoe, Ontario's first Lieutenant Governor, and the Superintendent of the Indian Department of Upper Canada, appointed by Simcoe. James Givens' brother George married the daughter of the Reverend Samuel Cuthbertson, the patriarch of the Cuthbertson family.  There is also a daguerreotype of Edward Greer Cuthbertson, the son of the Reverend Samuel Cuthbertson and grandfather of Allan.     The majority of the fonds is comprised of family movies, slides and 11 x 17 photograph albums filled with black and white prints, taken and compiled from the early 1900s until the mid 1940s.  Photograph albums follow a chronological order and most of the photographs have captions.  Allan Edward Cuthbertson was most often the photographer and the images mainly centre around his immediate family: his parents Frederick Henry Cuthbertson and Mary Ann (Polly) Jackson, his siblings Elaine and Frederick William, and his wife Elma Ferguson and their two children, George and Hugh (Sonny).  Family outings and vacations are also captured.  The family spent time year-round in the Muskoka region of Ontario, in particular the towns of Bala and Rosseau.  There are many images of cottages, canoeing, and natural scenes from here as well as home movies of the scenery of Muskoka, Brantford and Niagara. There is also a series of photographs, lantern and colour slides related to Rotary Club convention trips to the west coast of Canada and the United States and also to the east coast, in particular Atlantic City and New York City.  Two trips overseas, in 1911 and 1937, to the United Kingdom and Europe are also documented; the fonds includes images of the Coronation of King George V and Queen Mary in June 1911 and George VI's Coronation that took place on 12 May 1937.  A series of photographs and home movies depict the World�s Fair of 1939 and a western Canada trip in 1940.  Negatives exist for some of the photos taken in the late 1930s and early 1940s.  Fonds also includes many photographs and slides documenting accidents and disasters. The Toronto Fire of 1904 is represented in several photographs as is the fire at the Lambton Golf Club in 1919, the Westminster Church fire on January 31, 1920 in Toronto, the Shuttleworth Chemical Company fire, the Forum Building fire, the fire at the Wawa hotel in Muskoka and the Parkdale Canoe Club fire in 1923.  There are also several images of accidents including plane crashes, automobile wrecks and train derailments.  There are lantern slides from the 1920 Westminster fire as well as moving images of a house fire and of a bridge collapse at Niagara Falls in 1938.  Other events captured by Allan Cuthbertson include images of the crowds gathered after a false report of a signing of Armistice on November 7, 1918, the crowds on Victory Day, November 11, 1918 on Yonge Street, Queen Street and King Street in Toronto and the return of Toronto's 58th Battalion on March 23, 1919.  There are images of the Canadian National Exhibition from 1919 until the 1940s, including original negatives of the CNE images from the late 1930s.  There are also several photographs of the visits of Theodore Roosevelt to Toronto on November 26, 1917, the Prince of Wales, Edward VIII, to the 1919 Canadian National Exhibition, the visits of the Ontario Premier Ernest Charles Drury and Colonel W.A. ""Billy"" Bishop, V.C. to the 1920 Canadian National Exhibition and the Royal Visit of George VI and Queen Elizabeth to Toronto and Brantford, Ontario in 1939.   Lantern slides from the 1919 Prince of Wales visit and moving images of the 1939 Royal Visit also exist.  The fonds also contains a large number of newspaper clippings that coincide with the events and incidents captured in the photographs.  Several of Allan Edward Cuthberston�s photographs were reprinted in newspapers and both forms are shown together in several of the albums.    Other textual materials in the fonds consist of memorabilia collected by Allan including menu cards, ship logs, telegrams and letters.  There are also a number of postcards from Europe and Western Canada.  Also contained in the fonds are documentary art items.  These include several lithographic prints of pastoral scenes and buildings.  The records are arranged as one fonds, with a detailed, itemized listing.",There are no restrictions on access to this fonds.,"Copyright has been transferred to the Archives of Ontario by the donor. Copyright status of three films (England's Coronation London 1937, The Visit of King George VI and Queen Elizabeth to Canada and the United States, C410 Regatta) is not known. There are no restrictions on reproduction for research and private study.  If you wish to use other than for research and private study any of this material, submit a Request for Permission  to Publish, Exhibit, or Broadcast form.",The Allan Edward Cuthbertson fonds was donated to the Archives of Ontario by George Cuthbertson,"The majority of the photographs, films and albums were taken and compiled by Allan Edward Cuthbertson and handed down to his youngest son, George Cuthbertson.",,F 4436 (William H. Hammond fonds) contains a lantern slide photograph by Allan Edward Cuthbertson of the Prince of Wales opening the 1919 Canadian National Exhibition (F 4436-0-0-0-169).  This photograph was used by Hammond while delivering a 1951 presentation about the Toronto Camera Club.,The 8mm and 16mm films have been converted to digital copies. Please request reference copies on DVD or SMI_ format.  Please request DVDs #348 and #349.  Several of the photographs have been added to the digital image database.,,,No further accruals are anticipated.,,Review,Y,,1853,1968,,Textual records,Graphic materials,Sound recordings,Moving images,Cartographic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cuthbertson, Allan Edward, 1888-1943",,,"Consult the online list to identify the records that you require. Order using the reference code and container number.   For films, please use the DVD reference copies (DVD nos. 348 and 349).Please note that some of the material is stored off-site. A minimum of 1-2 business days is required to retrieve the material from storage.  Please contact a Reference Archivist of more information","An online, detailed item list is available for this fonds. : : :",: :,: : : : :
33,C 68,Fonds,Albert Lawrence collection,1970-1971,,"4 audio reels (1 hr., 50 min.); 1 audio disc",,"Collection consists of sound recordings relating to Lawrence's campaign for leadership of the Ontario Progressive Conservative Party in 1971.  The collection includes 4 audio tapes consisting of his announcement to seek the leadership, as well as interviews conducted with Lawrence by a number of radio stations. The fonds also includes a phonograph record produced for the Allen Lawrence for Leader Campaign Committee, used during the 1971 Ontario Progressive Conservative Party Leadership Convention.",No restrictions on access.,"Copyright for audio tapes is held, respectively, by the Progressive Conservative Party of Ontario, as well as by radio stations CFRB and CKPM. Copyright for one audio tape is unknown. Copyright for the audio disk is held by Burke Van Valkenburg of Trans Media Services. These materials cannot be published or reproduced without permission of the copyright holder.",Collection was donated to the Archives of Ontario by Bob Pennefather of Toronto in 1978.,,,,,,Title based on contents of collection.,,Accession number 12571.,Approved,Y,,1970,1971,,Sound recordings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Lawrence, Albert, 1923-2007",,Progressive Conservative Party of Ontario,Please consult a Reference Archivist for information on access to sound recordings.,No finding aid is available for this fonds. : : :,: :,: : : : :
34,C 70,Fonds,Albert J. Kinsey fonds,1937-1946,,15 film reels,,"The fonds consists of 15 reels of 16 mm. film featuring scenes from Toronto and Southern Ontario 1937- 1946.  Film subjects include Georgian Bay scenes, including Camp Franklin, Franklin Island, and Nascoot; 1939 Royal Visit; Victory in Europe Day; Ice Follies; a Skating Carnival; and scenes from the Niagara region.",No access restrictions.,"Copyright in these films has expired.   There are no restrictions on reproduction, however, however permission of the Archives of Ontario is required for publication, exhibit or broadcast; submit a Request for Permission to Publish, Exhibit or Broadcast form.","Fonds was donated to the Archives of Ontario in two accessions, 1980 and 1982, by George Miles of Toronto, a friend of Albert Kinsey.",,,,"One film in this fonds, ""Nascoot, Georgian Bay"", C 70-1-0-14 , is available on reference copy DVD 1 and SMI_00005.",,Title based on fonds creator.,,Accession numbers 13437 and 14959.,Review,Y,,1937,1946,,Moving images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/30/2002,"Kinsey, Albert J.",,,"Please consult a Reference Archivist for information on accessing motion pictures. One film in this fonds, C 70-1-0-14, ""Naskoot, Georgian Bay"", is available on reference DVD 1.",No finding aid is available for this fonds. : : :,: :,: : : : :
35,C 71,Fonds,Miller Stewart fonds,1962-1966,,178 audio reels (ca. 84 hrs.); 1 item of textual records,,"Fonds consists of material pertaining to radio broadcasts produced by Miller Stewart for the Canadian Broadcasting Corporation 1962-1966, as well as a broadcast transcript.  Fonds includes 178 audio reels of radio broadcast recordings, most of which were aired on CBC's ""The Learning Stage."" The subjects include Canadian and Ontario history, pioneer settlement and scientific phenomena.  Fonds also includes a transcript of ""The Learning Stage"" radio broadcast, 1963.",No access restrictions.,Copyright held by creator. These materials cannot be published or reproduced without permission of the copyright holder.,Fonds was donated to the Archives of Ontario by Miller Stewart in 1974.,,,,,,Title based on contents of fonds.,,Accession number 13503.,Approved,Y,,1962,1966,,Sound recordings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Stewart, Miller",,,Please contact a Reference Archivist for information on access to these records.,No finding aid available for this fonds. : : :,: :,: : : : :
36,C 77,Fonds,Bruce W. Taylor fonds,1976-1978,,5 audio cassettes,,"Fonds consists of recorded interviews of individuals involved in the establishment and operation of Steep Rock Mines in Atikokan, Ontario. The interviews were conducted by Taylor and used in the creation of his book, ""Steep Rock-- The Men and the Mines"".  Interviewees include Mel Bartley, Mark McGee, Syd Hancock, and Mrs. ""Pop"" Fotheringham.",No access restrictions.,Copyright held by creator. These materials cannot be published or reproduced without permission of the copyright holder.,Fonds was donated by Bruce W. Taylor in 1980.,,,Records of the Steep Rock Iron Mines are available at the Archives of Ontario. See F 1344.,,,Title based on immediate source of acquisition of collection.,,Accession number 13536.,Approved,Y,,1976,1978,,Sound recordings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Taylor, Bruce W.",,Steep Rock Iron Mines Limited,Please contact a Reference Archivist for information on gaining access to these records.,No finding aid is available for this collection. : : :,: :,: : : : :
37,C 81,Fonds,Osgoode Society fonds,"[1965]-2011, predominant 1978-2011",,9.22 metres of textual records; 4 photographs : black and white prints; 3 photographs : colour prints; 2100 audio cassettes; 1 videocassette,,"Fonds consists primarily of oral history interviews of lawyers, judges and others in the legal profession, relating to various aspects of legal history in Ontario and Canada.  These interviews comprise the sole activity of the Osgoode Society's Oral History Programme.  Most interview documentation consists of audio cassette recordings with accompanying transcripts, although one interview on videocassette is also included.  Fonds also includes photographs of interviewees and textual research materials pertaining to several individuals involved in the Canadian legal profession, such as copies of articles, speeches and news clippings.  Fonds has been arranged into five series.",Please see individual series descriptions.,Please see individual series descriptions.,"Fonds was donated to the Archives of Ontario by the Osgoode Society in a number of accessions in 1980, from 1982-1988, in 1990, 1995, 2000, 2005, 2008, 2009 and 2013.",,,,"Some records are available as digital, DVD or CD reference copies.",,Title is based on contents of fonds.  Osgoode Society's annual reports were considered as the definitive source of information when identifying within which oral history programme and sub-programme an interview was conducted.  The interviews were categorized into their respective series based on the information in these reports.,Future accruals are possible.,,Review,Y,,1965,2011,,Textual records,Graphic materials,Sound recordings,Moving images,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,Osgoode Society,,,Please see individual series descriptions to help narrow down your search.,Please see individual series descriptions. : : :,: :,: : : : :
38,C 82,Fonds,Irving Abella collection,Copied 1978 (originals created 1971-1973),,86 audio reels; 32 audio cassettes,,"Collection consists of oral history interviews with individuals involved with labour and socialist movements in Ontario and Canada. Many of the interviewees are emigrants to Canada.  Subjects include Jewish history in Eastern Europe, Nazi aggression, the Russian Revolution, development of the Canadian labour movement, and the Canadian Communist Party.",No access restrictions.,Copyright transferred to the Archives of Ontario by the donor. No restrictions on reproduction or publication of material for which the donor is authorized to transfer copyright to the Archives. Other material may require permission of third party copyright holders.,The collection was originally loaned to the Archives of Ontario for copying purposes in 1978. The loan was arranged by Karen Levine of the Multicultural Historical Society of Ontario. The collection was subsequently donated in two accessions in 1979 and in 1995 by Irving Abella.,,,,,Some recordings are of poor quality.,Title based on immediate source of acquisition of collection.,,Accession number 30025; one accession number unknown.,Approved,Y,,1971,1973,,Sound recordings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Abella, Irving, 1940-",,,Pleae contact a Reference Archivist for information on gaining access to these records.,Partial listings of the interviews are available for these records. Please contact a Reference Archivist. : : :,: :,: : : : :
39,C 83,Fonds,Annex Residents' Association fonds,1980,,ca 80 photographs : slides; 1 audio cassette; 2 items of textual records,,"Fonds consists of a slide and audio tape presentation, as well as textual material.  Included in the fonds are two 80- slide carousels and 1 audio cassette tape, comprising ""At the Heart of the City,"" an audiovisual presentation regarding the Annex area of downtown Toronto.  Fonds also includes a photocopy of a typed script for ""At the Heart of the City."" As well, the fonds includes a report, ""Into the '80s: a Neighborhood Conference by Annex Residents' Association, at Loretto College, November 22, 1980""",No access restrictions.,Copyright held by creator. These materials cannot be reproduced or published without permission of the copyright holder.,Fonds was donated to the Archives of Ontario by Norah Johnson in 1981.,,,,,,Title based on contents of fonds.,,Accession number 14131.,Approved,Y,,1980,1980,,Textual records,Graphic materials,Sound recordings,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,Annex Residents' Association,,,Please contact a Reference Archivist for information on gaining access to these records.,No finding aid is available for these records. : : :,: :,: : : : :
40,C 85,Fonds,Norman S. Bell fonds,[ca. 1925-195-],,21 film reels,,"Fonds consists of motion picture film chronicling personal activities of Norman S. Bell.  Fonds includes footage regarding Bell's travels in northern Canada, California and the West Indies. Other subjects include road construction in northern Ontario, as well as construction of a hydro electric dam at Grand Falls, New Brunswick 1926-1927.  Fonds also includes some purchased newsreels and animated films.",No access restrictions.,Copyright transferred to the Archives of Ontario by the donor. No restrictions on reproduction or publication of material for which the donor is authorized to transfer copyright to the Archives. Other material may require permission of third party copyright holders.,"Fonds was donated by Airdrie Guppy of Ottawa, Ontario in 1981.",,,"See also F 627, Bell Family papers, for textual material regarding Norman S. Bell and Noorduyn Aviation Limited.",,,Title based on contents of fonds.,,Accession number 14310.,Approved,Y,,1923,1959,,Sound recordings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Bell, Norman S., 1910-1980",,,Please contact a Reference Archivist for information about gaining access to these records.,A listing of this material is available. Please contact a Reference Archivist for more information. : : :,: :,: : : : :
41,C 88,Fonds,McLaughlin family fonds,1878-1971,,2 reels of microfilm (textual and photographic records); 71 film reels; 12 centimetres of textual records; ca. 1500 photographs; 2 medals; 2 posters,,"Fonds consists of photographs and personal memorabilia relating to the McLaughlin family of Oshawa from 1878-1971, as assembled by C. Ewart McLaughlin and Mary Hare. Included are photographs of members of the McLaughlin family and textual documents relating to their charity work in the community. This fonds also contains home movies produced mainly by Ewart McLaughlin, documenting  four generations of the McLaughlin family, including George McLaughlin, Ewart McLaughlin, Ewart's children, Dick and Mary, and their children, from 1925 to 1967. Leisure activities such as travel and family events are the subject of most of these films.  This fonds also contains a small amount of business records and photographs of the McLaughlin Carriage Company and its successors, McLaughlin-Buick and the General Motors Company of Canada in Oshawa. It also contains two medals won by the McLaughlin Carriage Company for its work.  This fonds also contains copy negatives and prints of most of the photographs and some of the publications in this fonds. These records were created by the National Archives when they borrowed the records on copy loan in 1971. The records were transferred from the National Archives of Canada in 2000 when the Archives of Ontario acquired the original documents from the McLaughlin family. See series description for C 88-3 for more information.  The fonds has been described in three series.",Original film material is closed for conservation purposes. Video reference copies of most films are available for consultation.; There are no access restrictions on the photographs.; There are no access restrictions on the textual material.,"For motion picture films less than 50 years old, copyright is held by creator.  Motion picture films cannot be reproduced without permission of the copyright holder. For sound and moving image material older than 50 years old, copyright has expired.  In either case submit a Request for Permission to Publish, Exhibit or Broadcast Form to the Archives of Ontario. For the photographic material, copyright has expired. These materials cannot be published without permission of the Archives of Ontario. Submit a Permission to Publish Request form. For textual records, copyright is held by the creator. There are no restrictions on reproduction.  If you wish to publish any of this material, submit a Request for Permission to Publish, Exhibit or Broadcast Form to the Archives of Ontario.","This fonds was acquired by the Archives of Ontario in 1983, 1999 and 2000 from Mary Hare, great  grand-daughter of Robert McLaughlin.; The copy negatives and prints were acquired by direct transfer from the National Archives of Canada in 2000.",,,,"Many of the textual records are also available on microfilm:  MS 674, reels 1 and 2.  Most of the motion picture films are available on video.",,The Archives of Ontario borrowed and microfilmed textual and photographic records in this fonds that were in the possession of Mary Hare in 1983.  Many of these records were later donated to the Archives  of Ontario by in the original by Mary Hare in 1999 and 2000.  The National Archives of Canada borrowed and copied textual and photographic records in this fonds that were in the possession of the McLaughlin family in 1971.,,"Accession Numbers 15808,  37787, 41195.",Approved,Y,,1878,1971,,Textual records,Sound recordings,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/14/2002,"McLaughlin (family) | McLaughlin, Robert, 1836-1921McLaughlin, C. Ewart, 1898-1968McLaughlin, George W., 1869-1942",,,"Please consult the relevant series and sub-series description and item listings to narrow down your search.  For copy negatives and prints, order C 88-3, container A 2948 (barcode B378927).",Series and sub-series descriptions and item listings are available. : : :,: :,: : : : :
42,C 89,Fonds,Sandy House fonds,1941-1970; 1980,,16 film reels; 3 audio cassettes; 1 audio reel,,"Fonds consists of 16 reels of amateur motion picture film created by Sandy House 1941-1980. The footage depicts London, England and India during World War Two, as well as postwar travel footage in Britain. As well, various festivals and other events are depicted in locales including New York state, Detroit, St. Catharines, Ontario, the Niagara region, and Toronto.  The fonds also includes 3 audio cassettes and 1 audio reel, all of which contain music and narration for the India films.",No access restrictions.,Copyright held by creator. These materials cannot be published or reproduced without permission of the copyright holder.,Fonds donated to Archives of Ontario in 1983 by Sandy House.,,,,Some of the films in this series are available on DVD reference copies.,,Title based on contents of fonds.,,Accession number 16207.,Approved,Y,,1941,1980,,Sound recordings,Moving images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/13/2003,"House, Sandy",,,Please consult a Reference Archivist for information on gaining access to these records. C 89 (138-1) is available on reference DVD 119. C 89 (AV 138-11) is available on reference DVD 15. C 89 (AV 138-6) is available on reference DVD 15.,No finding aid is available for these records. : : :,: :,: : : : :
43,C 92,Fonds,G. Norman Irwin fonds,1926-1967,,110 film reels,,"Fonds consists of personal home movies of G. Norman Irwin and family. Subjects include home and family activities and holiday celebrations; aviators' club and church gatherings at Stonehaven; activities related to the R.C.A.F. training program during the Second World War; local parades and public events; leisure and vacation times in Muskoka; farm activities at Stonehaven; and trips to Great Britain, California, Florida, Hawaii, and other parts of Canada.  Also includes a Dunlop Canada Ltd. film, entitled ""Go Dunnies Go"" on the Whitby Dunlops' world hockey championship at Oslo, Norway in 1958.  Fonds includes film footage of trips to Europe, California, Florida, Hawaii, Niagara Falls and across Canada.  Fonds also includes footage of the 1958 World Cup victory of the Whitby Dunlops hockey team in Oslo, Norway.",Original films closed for conservation purposes. Please use videotape reference copies.,"Copyright held by creator for films 50 years old or less.  Films more than 50 years old are in the public domain.  Copyright for the Dunlop Canada film ""Go Dunnies Go"" is held by Dunlop.  There are no restrictions on reproductions for research and private study.  If you wish to use this material beyond research and private study, please submit a Request for Permission to Publish, Exhibit or Broadcast Form.",Fonds donated to the Archives of Ontario in 1984 by son Bill Irwin.,,,,Some of the films are available as DVD reference copies or as digital files or � in. videotape reference copies.,,Title based on contents of fonds.  Several item-level descriptions were revised on 9 June 2020 to redact racist slurs. See online listing for more information.,,Accession number 16545.,Approved,Y,,1926,1967,,Moving images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/22/2001,"Irwin, G. Norman, 1903-1983",,,"To view records, first review the online list to narrow your search, then consult a Reference Archivist for information on gaining access to these records.",An online list of the film contents is available.  This list is primarily based on the intertitles edited into the films by Norman Irwin.  Explanatory notes are shown in square brackets. : : :,: :,: : : : :
44,C 94,Fonds,J.J. Taylor and Sons fonds,1944-1954,,9 film reels (954 metres),,"Fonds consists of material related to the activities of J.J. Taylor and Sons Ltd.  Fonds includes motion picture footage of launching and trials of various types of watercraft built by J.J. Taylor Ltd., including wooden minesweepers, yachts, power boats, patrol boats and cruisers. The material also includes footage of boatyard, Toronto Island Airport, Trent Canal and Peterborough lift lock, and Welland canal.",No access restrictions.,"Copyright has been transferred to Archives of Ontario by the donor. There are no restrictions on reproduction .  Permission of the Archives of Ontario is required for publication; submit a Request for Permission to Publish, Exhibit or Broadcast Form.","Fonds was donated to the Archives of Ontario by W. James Taylor, son of William Taylor in 1985.",,,,Video reference copies available for all titles.,,Title based on contents of collection.,,Accession number 16698.,Approved,Y,,1944,1954,,Moving images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,J.J. Taylor and Sons Ltd.,,,"To view material, please consult a Reference Archivist. Video reference copies are available for viewing.",A list of film contents is available. Please consult a Reference Archivist for more information. : : :,: :,: : : : :
