SISN,REFA,HEADING,DATEEX_BEGINNING,DATEEX_END,FUN,ADM,VAR_1,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,SOURCE,SUC_1,SUC_2,SUC_3,SUC_4,DATECONT_1_BEGINNING,DATECONT_1_END,CONTAG_1,DATECONT_2_BEGINNING,DATECONT_2_END,CONTAG_2,DATECONT_3_BEGINNING,DATECONT_3_END,CONTAG_3,DATECONT_4_BEGINNING,DATECONT_4_END,CONTAG_4,DATECONT_5_BEGINNING,DATECONT_5_END,CONTAG_5,DATECONT_6_BEGINNING,DATECONT_6_END,CONTAG_6,DATECONT_7_BEGINNING,DATECONT_7_END,CONTAG_7,DATECONT_8_BEGINNING,DATECONT_8_END,CONTAG_8,DATECONT_9_BEGINNING,DATECONT_9_END,CONTAG_9,DATECONT_10_BEGINNING,DATECONT_10_END,CONTAG_10,DATECONT_11_BEGINNING,DATECONT_11_END,CONTAG_11,DATECONT_12_BEGINNING,DATECONT_12_END,CONTAG_12,DATECONT_13_BEGINNING,DATECONT_13_END,CONTAG_13,DATECONT_14_BEGINNING,DATECONT_14_END,CONTAG_14,AUTHTP_1,AUTHTP_2,NAME,AA,PAR_1,PAR_2,PAR_3,PAR_4,SEEALSO,PRED_1,PRED_2,PRED_3,PRED_4,PRED_5,RULES,STATUSA,WEBA
2349,AA49,Ontario. Dept. of Crown Lands,,,"The Department of Crown Lands was responsible for the public lands, mines, woods and forests of the Province of Ontario. Activities of the Department included: issuing licenses of occupation to intending settlers; keeping a register of assignments of claims to land; issuing patents; and collecting and acquiring information concerning the mining and forestry industries of the Province. In 1900, the Department also acquired responsibility over immigration and colonization.","By the terms of the British North America Act (now the Constitution Act) of 1867, both the Department of Crown Lands and the Commissioner of Crown Lands for the Province of Canada, as outlined in the ""Act respecting the sale and management of Public Lands"" of 1860, were continued as the Department of Crown Lands and the Commissioner of Crown Lands for the Province of Ontario. Although the primary responsibility of the Department was the sale and management of public lands and the granting of land to settlers, it was also responsible for the mines, woods and forests of the province. In 1891, a Bureau of Mines, under a director, was established and attached to the Department. By 1895, a Bureau of Forestry, under the direction of the Clerk of Forestry (formerly responsible to the Commissioner of Agriculture and Arts), was also created and attached to the Department of Crown Lands. Immigration also came under the authority of the Department of Crown Lands in 1900, when the Bureau of Colonization was established. In 1905, legislation was passed which renamed the Commissioner of Crown Lands, the Minister of Lands and Mines. With this change, the Department of Crown Lands was also renamed the Department of Lands and Mines.",,,,,,,,,,,,"Bishop, Olga. Publications of the Government of Ontario, 1867-1900 (1976). Canadiana Name Authorities, 1996-12-24",Ontario. Dept. of Lands and Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Crown Lands,,,,,,,Canada (Province). Crown Lands Dept.,,,,,Rules for Archival Description,Approved,Y
2354,AA16,Ontario. Dept. of Economics and Development,,,"The mandate of the Department was to promote trade and industrial expansion, increase the province's rate of economic growth and undertake studies of the economy.","The Department of Economics and Development was established December 15, 1961 by the amalgamation of the Department of Commerce and Development and the Department of Economics and Federal and Provincial Relations. The Ministers of the Department were R. W. Macaulay (1961-1963) and Stanley J. Randall (1964-1968). The name of the Department changed April 11, 1968 to the Department of Trade and Development.",,,,,,,,,,,,"Canadiana Name Authorities, 1995-03-15. Government of Ontario Telephone Directories, 1961",Ontario. Dept. of Trade and Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Economics and Development,,,,,,,Ontario. Dept. of Commerce and Development.,Ontario. Dept. of Economics and Federal and Provincial Relations,,,,Rules for Archival Description,Approved,Y
2377,AA22,Ontario. Dept. of Energy and Resources Management,,,"The Department of Energy and Resources Management was responsible for programmes and activities relating to the management of natural gas, fuel oil, propane, petroleum products, and water, and for projects carried out within local Conservation Authorities.","In 1964, the Department of Energy Resources acquired responsibility over the Conservation Authorities Branch of the Department of Lands and Forests, and was renamed the Department of Energy and Resources Management. The Department consisted of the Office of the Minister and the Office of the Deputy Minister, along with three branches - the Energy Branch, the Conservation Authorities Branch, and an Administrative Services Branch. Two agencies - the Ontario Energy Board and the Ontario Northland Transportation Commission - also reported to the Department of Energy and Resources Management. In 1970, the Air Management and Waste Management Branches of the Department of Health were transferred to the Department of Energy and Resources Management. However, in this same year, the energy responsibilities of the Department, including the Ontario Energy Board, were removed and transferred to the Department of Mines and Northern Affairs. As a result of these changes, the Department of Energy and Resources Management was renamed the Department of the Environment in 1971.",,,,,,,,,,,,"Canadiana Name Authorities, 1996-12-24. Directory and Guide to Services of the Ontario Government, 1964-1971",Ontario. Dept. of the Environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Energy and Resources Management,,,,,,,Ontario. Dept. of Energy Resources,,,,,Rules for Archival Description,Approved,Y
2394,AA56,Ontario. Dept. of Energy Resources,,,"The Department of Energy Resources was responsible for regulating the production, storage, transmission, distribution, sale, and use of fuel in Ontario. Activities included administering and developing regulations relating to fuel appliances, fuel use, pipe lines, and the drilling and production of gas and oil.","The Department of Energy Resources was established by legislation in 1959. The Department consisted of the Office of the Minister, Office of the Deputy Minister, Administration Branch, Energy Studies Branch, Drilling and Production Branch, Transmission and Distribution Inspection Branch, and the Utilization Branch. In 1962, the Transmission and Distribution Inspection Branch and the Utilization Branch were merged to create the Inspection Services Branch. The Ontario Fuel Board was also attached to the Department until 1960, when it ceased to exist. The administrative functions of the Board were assumed by the Department of Energy Resources, while its judicial functions were taken over by the Ontario Energy Board. The Department of Energy Resources continued to exist until 1964, when it acquired responsibility over the Conservation Authorities Branch, formerly with the Department of Lands and Forests, and was renamed the Department of Energy and Resources Management.",,,,,,,,,,,,"Canadiana Name Authorities, 1996-12-24. Annual Report of the Department of Energy Resources, 1960. Directory and Guide to Services of the Ontario Government, 1959-1964",Ontario. Dept. of Energy and Resources Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Energy Resources,,,,,,,,,,,,Rules for Archival Description,Approved,Y
2420,AA46,Canada (Province). Dept. of Finance,,,The Department of Finance was responsible for acting as the custodian of the funds of the Province of Canada and for supervising and controlling all matters relating to the financial affairs of the Province.,"The Department of Finance for the Province of Canada, was established in 1859, replacing the Office of the Inspector General. The title of Inspector General was also changed at this time to that of Minister of Finance. The earlier titles of Inspector General and Inspector General's Office, however, were still often used after 1859. The Department consisted of the Minister of Finance, the Deputy Inspector General, the Audit Branch, and the Customs Branch, headed by the Commissioner of Customs. The Department was responsible for presenting several types of reports to the Legislative Assembly, including an annual report on the public accounts and an annual report on estimates of the expenses of the Executive Council. With Confederation in 1867, the Department of Finance for the Province of Canada was disbanded, and responsibility for the management of the financial affairs of the new Province of Ontario was passed to the Treasury Department.",Canada (Province). Inspector General's Office,,,,,,,,,,,"Bishop, Olga. Publications of the Government of the Province of Canada, 1841-1867 (1963). Public Accounts, 1859-1867",Ontario. Treasury Dept.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Finance,,,,,,,Canada (Province). Inspector General's Office,,,,,Rules for Archival Description,Approved,Y
2543,AA84,Ontario. Dept. of Financial and Commercial Affairs,,,"The Department of Financial and Commercial Affairs was responsible for the regulation of insurance companies, loan and trust companies, and the trading of securities within the Province of Ontario. In 1968, the Department acquired further responsibility over the regulation of credit unions, cemeteries, upholstered and stuffed articles, and the sale of goods and services. Responsibility over the incorporation of companies and the regulation of lotteries was added by 1970.","The Department of Financial and Commercial Affairs was established on November 24, 1966. The new Department acquired several functions which had previously been the responsibility of the Department of the Attorney General. These included the Registration and Examination Branch, the Office of the Superintendent of Insurance, and responsibility over the Ontario Securities Commission. The Department was presided over by the Minister of Financial and Commercial Affairs, who was assisted by a Deputy Minister. At the time of its establishment, the Department consisted of the Minister's Office, the Deputy Minister's Office, an Administrative Services Branch, the Registration and Examination Branch, the Office of the Superintendent of Insurance, and the Ontario Securities Commission. In 1967, a Consumer Protection Division was established to be responsible for a newly created Consumer Protection Bureau. The Registration and Examination Branch was also transferred to the Division at this time. Several other branches were created within, or transferred to, this Division in 1968, including the Credit Unions Branch, the Upholstered and Stuffed Articles Branch, and the Cemeteries Branch. Further changes within the Department occurred in 1970, with the creation of a Lotteries Branch and the Companies Branch. The Commercial Registration Appeals Tribunal was also established at this time. In 1972, the Government of Ontario was considerably re-organized as the various Departments were restructured and renamed as Ministries. With this change, the Department of Financial and Commercial Affairs was replaced with the Ministry of Consumer and Commercial Relations.",,,,,,,,,,,,"Canadiana Name Authorities, 1996-12- 24",Ontario. Ministry of Consumer and Commercial Relations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Financial and Commercial Affairs,,,,,,,,,,,,Rules for Archival Description,Approved,Y
2606,AA37,Ontario. Dept. of Health,,,"The Department of Health was responsible for the  management and operation of programmes relating to health insurance, care for the mentally ill, home care services, drug services, and the regulation of hospitals and nursing homes. The Department also operates laboratories, psychiatric hospitals, and provides funding and leadership for local public health services.","Established in 1924, the Department of Health replaced the Provincial Board of Health. Since its establishment, the Department's functions have both expanded and shrunk. In 1930, the Hospitals Branch of the Department of the Provincial Secretary - responsible for administering Ontario's psychiatric hospitals and inspecting the province's public and private hospitals - was transferred to the Department of Health. In 1952, cancer research and the operation of cancer clinics was added to the Department's responsibilities. At the same time, other functions have been shifted out of the Ministry to other agencies. In 1956,  the Public and Private Hospitals Division was transferred to the Ontario Hospitals Services Commission (although this Commission still reported to the Minister of Health). The water and sewage functions of the old Sanitary Engineering Division were moved to the Ontario Water Resources Commission in 1957. The Ministry of Community and Social Services took responsibility for mental retardation facilities and children's services in 1974, and the Ministry of Labour took charge of the occupational health function in 1976. The Department was organised primarily by divisions until 1959, when they became known as branches. In 1962 a Royal Commission on Health Services was appointed which served as a catalyst for a major overhaul of the Department. This occurred in 1966 when the various branches and programmes of the Department were organized into divisions once again. These divisions included the Public Health Division, Mental Health Division, Medical Services Insurance Division, and the Financial and Administrative Services Division. The Department of Health was replaced by the new Ministry of Health in 1972.",,,,,,,,,,,,"MacTaggart, Hazel I. Publications of the Government of Ontario, 1901-1955 (1964). _____. Publications of the Government of Ontario, 1956-1971 (1975). Canadiana Name Authorities, 1996-12-24",Ontario. Ministry of Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Health,,,,,,,Provincial Board of Health of Ontario,,,,,Rules for Archival Description,Approved,Y
3422,AA47,Ontario. Dept. of Highways,,,"The Department of Highways was responsible for the planning, construction and maintenance of all highways and secondary roads throughout the Province of Ontario.","The Department of Public Highways was renamed the Department of Highways in 1931. While the Department of Public Highways shared Ministers with the Department of Public Works, the new Department of Highways was given its own Minister, who reported directly to the Legislature. In 1937, the Department of Northern Development, previously responsible for highways in the northern parts of the Province, was merged into the Department of Highways, thus bringing all highway work in the Province under one administration. Between 1937 and 1957, the Department consisted of six different branches. These included the Engineering Branch, the Services Branch, the Finance Branch, the Personnel Branch, the Public Relations Branch, and the Motor Vehicles Branch. On July 1, 1957, legislation was passed which established the Department of Transport, and the Motor Vehicles Branch was transferred to this new Department. In 1971, the Department of Highways and the Department of Transport were amalgamated to form the Department of Transportation and Communication.",,,,,,,,,,,,"MacTaggart, Hazel I. Publications of the Government of Ontario, 1901-1955 (1964). MacTaggart, Hazel I. Publications of the Government of Ontario, 1956-1971 (1975). Canadiana Name Authorities, 1996-12-24. Annual Reports for the Department of Highways",Ontario. Dept. of Transportation and Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Highways,,,,,,,Ontario. Dept. of Public Highways,,,,,Rules for Archival Description,Approved,Y
3686,AA112,Ontario. Ministry of Tourism (1999-2001),,,The Ministry of Tourism supported the development of the tourist industry in Ontario by encouraging development in tourism products and infrastructure and marketing Ontario as a tourism destination.,"The Ministry of Tourism was created on June 17, 1999 when the Ministry of Economic Development, Trade and Tourism was divided into the Ministry of Tourism and the Ministry of Economic Development and Trade. The Ministry was divided into the Tourism Division, the Corporate and Field Services Division, and a number of branches that did not form part of a division. It was also responsible for overseeing the Niagara Parks Commission, the Ontario Place Corporation, the Ontario Tourism Marketing Partnership Corporation, the Ottawa Congress Centre, the St. Clair Parkway Commission, and the St. Lawrence Parks Commission. The ministry ceased to exist on February 8, 2001, when it was merged with the Ministry of Citizenship, Culture and Recreation to form the new Ministry of Tourism, Culture and Recreation.",,,,,,,,,,,,"Press Release from the Office of the Premier of Ontario, June 17, 1999. Annual Report, Ministry of Tourism 2005-2006","Ontario. Ministry of Tourism, Culture and Recreation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Ministry of Tourism (1999-2001),,,,,,,"Ontario. Ministry of Economic Development, Trade and Tourism",,,,,Rules for Archival Description,Approved,Y
3693,AA73,Ontario. Dept. of Justice,,,"The Department of Justice was responsible for administering the justice system in the province, supervising and administering law enforcement, representing the province and the government in civil disputes, and advising the government and its ministers on all matters of the law and on the development of legislation.","The Department of the Attorney General was renamed the Department of Justice on March 26, 1969. The title of Attorney General, as head of the Department, was also changed at this time to Minister of Justice and Attorney General in order to better reflect the position's responsibilities for all aspects of the justice system in Ontario. The Department existed for only three years and was abolished in April, 1972. At that time a number of functions were removed from the Department of Justice and continued by the newly established Ministry of the Solicitor General. These included responsibility over the Ontario Provincial Police, the Ontario Fire Commission, the Fire Marshall's Branch, the Centre of Forensic Science, the Supervising Coroner's Branch and the Emergency Measures Branch. Authority over probation and parole matters was also removed in 1972 and given to the new Ministry of Correctional Services. With the reduction in the responsibilities filled by this office the name of the Department of Justice reverted to the Ministry of the Attorney General.",,,,,,,,,,,,"Canadiana Name Authorities, 1996-12-24. Government of Ontario Telephone Directories, 1969-1972",Ontario. Ministry of the Attorney General.,Ontario. Ministry of the Solicitor General (1972-1993),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Justice,,,,,,,Ontario. Dept. of the Attorney General,,,,,Rules for Archival Description,Approved,Y
3694,AA38,Ontario. Dept. of Labour,,,"The Department of Labour was responsible for the administration of statutes and regulations involving safety in industry, collective bargaining and the economic protection of workers.","The Department of Labour was established in 1919, replacing the Trades and Labour Branch of the Department of Public Works. During its existence, the Department had responsibility for a number of different branches, agencies and boards. Although these agencies changed often over the history of the department, they generally focused on five primary areas: the regulation of wages; the regulation of working conditions and the safety of workers; human rights; industrial relations; and apprenticeship training and employment. Some of the branches that have existed within the Department include the Boiler Inspection Branch, the Elevator Inspection Branch, the Factory Inspection Branch, the Construction Safety Branch, the Engineering Services Branch, the Fair Employment Practices Branch, the Industrial Training Branch, the Labour Standards Branch, the Public Relations and Information Branch, and a wide variety of departmental administrative services branches. Agencies which reported to the Department include the Ontario Human Rights Commission; the Industry and Labour Board, the Ontario Labour Relations Board, the Board of Examiners of Operating Engineers, and the Workmen's Compensation Board. In 1972 the Ontario government was substantially reorganized and many former departments were disbanded and replaced with Ministries. The Department of Labour continued to exist as the Ministry of Labour, but lost several of its functions to other jurisdictions during the restructuring. Of particular note were a number of functions associated with the regulation of working conditions and the safety of workers, which were transferred to the newly-formed Ministry of Consumer and Commercial Relations (MCCR). In addition, the Industrial Training Branch was transferred to the Ministry of Colleges and Universities.",,,,,,,,,,,,"MacTaggart, Hazel I. Publications of the Government of Ontario, 1901-1955 (1964). Directory and Guide to Services of the Ontario Government, 1956. Canadiana Name Authorities, 1996-12-24",Ontario. Ministry of Labour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Labour,,,,,,,Ontario. Trades and Labour Branch,,,,,Rules for Archival Description,Approved,Y
